,album,artist,genre,id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
55,What Makes You Country,Luke Bryan,Country,79LAFAkR1ATb4iIQvZuCL0,Most People Are Good,0.174,0.582,221801,0.728,0.0,8,0.139,-6.151,1,0.0292,150.013,4,0.537
0,The Gap of Dreams,Altan,Acoustic,5OPoGFel9ubOb09aQT55yw,Port Alex,0.86,0.606,142252,0.232,0.812,7,0.117,-18.124,1,0.0929,177.822,4,0.641
1,Don't Let Me Down,Joy Williams,Acoustic,18RRTF9SbEOM9h3aoMKeNc,Don't Let Me Down (Instrumental),0.994,0.702,180419,0.0466,0.97,11,0.091,-22.9,1,0.0676,132.039,4,0.132
2,"Bob Marley: No Woman, No Cry (Arr. Cello)",Sheku Kanneh-Mason,Acoustic,1JUkO4vVk4LcvwP9sWBBRM,"No Woman, No Cry (Arr. Cello)",0.98,0.285,146019,0.0227,0.146,2,0.117,-27.431,1,0.0556,79.856,4,0.206
3,Spotify Singles,Lindsey Stirling,Acoustic,1VK5JYdgrJZENDl1taa2cS,7 Years (Acoustic) - Recorded at Spotify Studios Nyc,0.736,0.366,147427,0.493,0.000457,10,0.106,-7.414,1,0.0503,116.031,4,0.306
4,Young Folks,City of the Sun,Acoustic,2R5k6cUbYlhJfZGO1erVMV,Young Folks,0.796,0.731,284286,0.482,0.945,0,0.0788,-10.771,1,0.0291,125.999,4,0.225
5,Blossom,Alan Gogoll,Acoustic,3Zb3SXZdtyNA0Cdq0DWLeC,Chime,0.516,0.55,106286,0.327,0.819,1,0.115,-22.131,1,0.0441,121.806,4,0.713
6,Shake It Off: Instrumental Guitar Covers of Pop Hits,Steve Petrunak,Acoustic,1HVLmKLkPyFbfO4IyLksG7,Chandelier (Instrumental Version),0.959,0.375,213109,0.414,0.898,1,0.102,-7.26,1,0.0476,84.793,4,0.376
7,Acoustic Chart Hits On Guitar (A Smooth Session),The Man on Guitar,Acoustic,4DQPbY5zjuRKDndrswinwP,Am I Wrong - Acoustic Guitar Version,0.672,0.828,183967,0.372,0.877,1,0.109,-10.967,0,0.0909,121.027,4,0.569
8,Aetherlight (Instrumental Version),Mt. Wolf,Acoustic,31W8L9o3Tr4c2QdIwQ98Wz,Tucana - Instrumental,0.656,0.648,156360,0.399,0.798,4,0.0901,-13.197,1,0.0418,84.064,4,0.151
9,Current Pop Hits: Instrumental Versions,The O'Neill Brothers Group,Acoustic,6BkxPaEx2a10JGV4364hCh,Little Talks (Instrumental Version),0.921,0.705,217417,0.258,0.943,1,0.127,-11.161,1,0.0363,101.967,4,0.239
10,Acoustic Chart Hits On Guitar (A Smooth Session),The Man on Guitar,Acoustic,5m9DeYXRRC7w6sWJdZ6qz7,Rather Be - Acoustic Guitar Version,0.812,0.79,230000,0.569,0.899,8,0.0975,-6.117,0,0.0554,122.04,4,0.435
11,"Wake Me Up When Its All Over (AVICII, Aloe Blacc, Rihanna, Avicci Covers)",Gavin Mikhail,Acoustic,2WbkiKZxUoXd3ByUrUaRZo,Stay (Instrumental),0.995,0.671,242473,0.46,0.951,9,0.129,-13.887,0,0.0489,112.003,4,0.775
12,"Piano Covers, Vol 6: Starboy",Niko Kotoulas,Acoustic,6waC3wIDE2P3iS14uHzdp5,Starboy,0.957,0.257,252187,0.474,0.856,9,0.125,-10.698,0,0.0352,93.589,4,0.241
13,Apologize an Acoustic Tribute to One Republic,Will Taylor and Strings Attached,Acoustic,0fP8S6WD9NBX3KzGJpLfkC,Apologize an Acoustic Tribute to One Republic,0.922,0.478,170630,0.296,0.854,9,0.112,-14.341,0,0.0513,135.318,4,0.253
14,Current Pop Hits: Instrumental Versions,The O'Neill Brothers Group,Acoustic,1ZqYhYRDzSuuIypKZXaFZT,Young & Beautiful (Instrumental Version),0.987,0.497,223478,0.174,0.917,11,0.147,-14.468,0,0.0332,115.485,4,0.128
15,Skinny Love,David Fischbein,Acoustic,2qhsUyXlhgQUfFNSR6ayuS,Skinny Love,0.989,0.505,253567,0.029,0.895,6,0.0989,-22.933,1,0.041,66.014,4,0.114
16,Let Her Go,David Fischbein,Acoustic,2fIVdzd4JW4HnwzqrvCysf,Let Her Go,0.989,0.257,192727,0.0317,0.944,8,0.16,-23.03,1,0.0424,205.506,4,0.268
17,Zoukelele,Jon Sanders,Acoustic,35BrErF6VAIne3YqPfyvDh,Wolf Whistle (feat. Dave Alley & Dave Khan),0.895,0.746,243960,0.126,0.427,7,0.0947,-13.982,1,0.0488,106.825,4,0.448
18,Novö Piano,Maxence Cyrin,Acoustic,6fh2YS29IrmW1yCHMlTDTM,Crazy in Love,0.937,0.233,232160,0.3,0.896,2,0.105,-15.242,0,0.035,170.816,4,0.034
19,I Will Wait For You (Mumford & Sons Covers),Gavin Mikhail,Acoustic,6ku8wWIPgkVW21HSQk6tjH,I Will Wait (Instrumental),0.973,0.438,275628,0.52,0.88,1,0.115,-9.908,1,0.0412,133.038,4,0.192
20,"The Collection, Volume 4",David Sides,Acoustic,4rY9mVRJWkb1zi7poObces,Chasing Cars,0.989,0.526,272363,0.246,0.901,9,0.0972,-23.915,1,0.0436,99.977,4,0.191
21,Shake It Off: Instrumental Guitar Covers of Pop Hits,Steve Petrunak,Acoustic,3MRrI9xd9mkxLFWCFcwmAb,Rude (Instrumental Version),0.942,0.717,221751,0.518,0.85,1,0.139,-6.539,1,0.0447,143.779,4,0.627
22,"The Collection, Volume 4",David Sides,Acoustic,0EF2bRraxKDVqEDSg7OKYJ,Viva La Vida,0.959,0.657,244020,0.323,0.776,5,0.11,-17.188,0,0.0453,137.0,4,0.301
23,Shake It Off: Instrumental Guitar Covers of Pop Hits,Steve Petrunak,Acoustic,3CK264UGtEvPpbvVEadVIP,Maps (Instrumental Version),0.981,0.736,190573,0.534,0.866,1,0.198,-7.926,0,0.0705,119.95,4,0.696
24,Westworld: Season 1 (Selections from the HBO® Series),Ramin Djawadi,Acoustic,2EqLuzLRumAUy1A90UV2rz,No Surprises,0.939,0.753,242520,0.327,0.822,5,0.0829,-14.524,1,0.0672,139.987,4,0.552
25,"Piano Covers, Vol. 4",The Theorist,Acoustic,7hrWRhCCAE7kBfVBkXLEdT,Hotline Bling (Piano Arrangement),0.98,0.425,232229,0.226,0.915,5,0.0961,-16.979,1,0.0412,125.398,4,0.0663
26,Shake It Off: Instrumental Guitar Covers of Pop Hits,Steve Petrunak,Acoustic,3AEV3hR5adfBog5CLhsWVS,Cool Kids (Instrumental Version),0.909,0.761,242505,0.469,0.864,8,0.13,-7.674,1,0.0558,130.076,4,0.554
27,Finest Selection of Acoustic Guitar Hits,The Man on Guitar,Acoustic,0ATgOdkIvNNgpTnZJQp4Ck,Prayer in C - Acoustic Guitar Version,0.128,0.886,203522,0.43,0.879,0,0.0604,-12.156,1,0.118,122.999,4,0.378
28,Deadeye,The Ballroom Thieves,Acoustic,0qlwfXNM5YTxYzLMtZuTym,La Mer Peu Profonde,0.833,0.543,60387,0.148,0.881,5,0.11,-17.457,1,0.0693,134.084,4,0.421
29,"Wake Me Up When Its All Over (AVICII, Aloe Blacc, Rihanna, Avicci Covers)",Gavin Mikhail,Acoustic,6JIViGhL0pnDwDNlWqUmyz,Wake Me Up (Instrumental),0.983,0.256,260551,0.395,0.872,8,0.174,-12.036,1,0.054,178.171,3,0.151
30,Game of Thrones Medley,2Cellos,Acoustic,0LLK7yaku9bb3QAuf3py93,Game of Thrones Medley,0.934,0.119,304227,0.594,0.91,5,0.105,-9.736,0,0.0565,84.566,4,0.147
31,The Guitar Covers,Ely Jaffe,Acoustic,4uEWUbAmN8CY8GwGEfVFTv,Coming Home,0.323,0.537,167868,0.514,0.000113,11,0.0869,-6.247,0,0.0524,136.545,4,0.462
32,Shake It Off: Instrumental Guitar Covers of Pop Hits,Steve Petrunak,Acoustic,16MH7WjEbCNGzH9PrIMgfi,Habits (Stay High) [Instrumental Version],0.911,0.738,209925,0.547,0.89,5,0.112,-8.592,1,0.0468,110.015,4,0.22
33,Ukulele Surf Style (Acoustic Style Covers),The Smooth Day Sessions,Acoustic,2QI0djAPzksbQQiQZH5vqU,The Lazy Song,0.799,0.712,192836,0.481,0.83,11,0.0835,-12.396,1,0.0938,174.961,4,0.747
34,Wrecking Ball,Bernard Dubicki,Acoustic,602bRvSIzuRyPUllVvhwUA,Wrecking Ball,0.993,0.401,260576,0.0652,0.917,9,0.103,-22.219,1,0.0476,199.585,4,0.157
35,All of Me (Piano Cover),Ellen Courtois,Acoustic,6p711pj5pLIa6mVJrk2PAx,All of Me,0.968,0.603,234543,0.0945,0.927,5,0.114,-19.221,1,0.0366,71.972,5,0.0727
36,Current Pop Hits: Instrumental Versions,The O'Neill Brothers Group,Acoustic,3zk7fxSrDMzWGtp5Mh7k2J,When I Was Your Man (Instrumental Version),0.846,0.569,210860,0.211,0.891,7,0.107,-13.589,1,0.0316,147.865,4,0.175
37,Current Pop Hits: Instrumental Versions,The O'Neill Brothers Group,Acoustic,3UUmzrGEeNZoffRWu7gKrJ,Little Lion Man (Instrumental Version),0.501,0.532,211952,0.415,0.922,5,0.105,-14.672,1,0.0296,141.827,4,0.266
38,Guitar Classics,The Man on Guitar,Acoustic,31KYw8j2NCgeDaTWrlTm0D,Californication - Acoustic Guitar Cover,0.927,0.642,206234,0.281,0.87,9,0.0952,-12.216,0,0.0569,171.883,4,0.275
39,Missile Bell {part 2 - the studio cd},Trace Bundy,Acoustic,1OyrFYSp3fnpXakgTz4yxw,Sweet Child O' Mine,0.792,0.657,264720,0.399,0.913,7,0.151,-11.974,1,0.0407,113.973,4,0.726
40,The Piano Guys,The Piano Guys,Acoustic,0E0xI4AgMNU7UkwBt3FCVN,A Thousand Years,0.989,0.23,275973,0.217,0.892,10,0.0844,-13.464,1,0.0386,157.084,3,0.156
41,Instrumental Versions of New Pop Hits,Instrumental Pop Players,Acoustic,17ByZJPIM4RoKxeWbKtltD,I'm Yours,0.498,0.557,249130,0.441,0.797,11,0.141,-8.27,1,0.0393,154.115,4,0.37
42,Westworld: Season 1 (Selections from the HBO® Series),Ramin Djawadi,Acoustic,7Ap7h823EAc1GBj6JKHBEK,Black Hole Sun,0.985,0.759,148760,0.253,0.887,5,0.112,-15.709,0,0.0507,98.984,4,0.266
43,Acoustic Guitar Plays New Pop Music: She Will Be Loved,Acoustic Guitar Tribute Players,Acoustic,0oqAf7pxrRFIj9hlebCRAQ,"Hey, Soul Sister",0.761,0.654,216921,0.593,0.883,4,0.0843,-6.529,1,0.0482,97.006,4,0.483
44,Music,David Garrett,Acoustic,4qEPcXwif4thULut32oPqK,Cry Me A River,0.542,0.57,195784,0.486,0.588,8,0.116,-9.283,0,0.0474,76.968,4,0.656
45,You Found Me - Instrumental Pop Songs,Instrumental Pop Songs,Acoustic,6Ku0bY5NhoSq9kU1fYz8BH,Use Somebody,0.887,0.75,232548,0.31,0.907,5,0.128,-12.534,1,0.0658,133.921,4,0.218
46,"On the Voice of Guitar, Vol. II",Ely Jaffe,Acoustic,31J06ok5AORJFFF3xDVste,Skyfall,0.522,0.531,205411,0.424,0.891,0,0.158,-4.393,0,0.0303,76.072,4,0.0919
47,All Of Me,Alison Sparrow,Acoustic,2vcvckOg239y6j18Ei3JV0,All Of Me Violin Cover,0.904,0.491,281428,0.239,2.33e-05,8,0.0823,-13.648,1,0.0352,125.865,4,0.198
48,3/4 AD,Davy Graham,Acoustic,2wxpgRChMOPsE9lebeEzMj,Angi,0.961,0.475,147067,0.0703,0.891,0,0.13,-22.699,0,0.0465,153.597,4,0.497
49,Current Pop Hits: Instrumental Versions,The O'Neill Brothers Group,Acoustic,7MfTO5QDPGGWD846Ar0Sva,Stay (Instrumental Version),0.436,0.796,215719,0.415,0.797,9,0.108,-13.755,0,0.0508,120.999,4,0.572
50,Spectrum (Say My Name) (Florence + The Machine Cover),Gavin Mikhail,Acoustic,5EufMaUYHnFgnNE3C2wLd0,The A Team (Angels To Fly) (Instrumental),0.986,0.554,291424,0.312,0.927,8,0.112,-16.227,1,0.0477,78.998,4,0.169
51,Rock Symphonies,David Garrett,Acoustic,3FT92lQ7y5LzT2QOlhuwTg,Smells Like Teen Spirit,0.145,0.49,247600,0.87,0.931,4,0.103,-5.505,0,0.058,116.013,4,0.184
52,All We Are Saying...,Bill Frisell,Acoustic,61gyeuR4ESBZqktbqsJhDt,Beautiful Boy,0.173,0.517,207987,0.493,0.541,2,0.107,-8.917,1,0.028,120.882,4,0.366
53,"Skinny Love (Birdy / Bon Iver Covers, Etc)",Gavin Mikhail,Acoustic,4qJYasnpFJQSIQl555fs7p,Skinny Love (Instrumental),0.983,0.717,239940,0.0765,0.933,11,0.141,-12.299,1,0.0651,132.076,4,0.107
54,Finding My Way,Trevor Gordon Hall,Acoustic,0pMBUD69Fl5Yxa9X9oV3qc,Come Together,0.024,0.685,338560,0.608,0.838,4,0.0815,-7.36,1,0.0627,168.367,4,0.606
55,Legs to Make us Longer,Kaki King,Acoustic,6dLkbgtwhk5vzSLhbRlW8A,Neanderthal,0.87,0.237,268040,0.317,0.939,6,0.11,-15.322,1,0.0391,111.312,4,0.204
56,More Beatles,Stephen Bennett,Acoustic,5JeB0aWdpAZr5fR2cgHc5w,Across the Universe,0.949,0.747,239960,0.167,0.824,1,0.108,-16.378,1,0.0656,77.926,4,0.107
57,All We Are Saying...,Bill Frisell,Acoustic,1Aod0worDm2ctoIbiLMmLp,In My Life,0.609,0.427,245227,0.266,0.438,9,0.0982,-12.726,1,0.0302,79.777,4,0.141
58,Beatles Acoustic Guitar Solos,Stephen Bennett,Acoustic,220cgqZrOmpWb4QGLrwmTR,Hey Jude,0.904,0.252,207347,0.262,0.934,5,0.0902,-14.57,1,0.0362,182.482,4,0.499
59,Teenager's Guide To Classical Music,St. Martin's Symphony Of Los Angeles,Acoustic,0IPl0wpJXJTBFKgYnNxEFT,You Found Me (made famous by The Fray ),0.908,0.181,241974,0.383,0.929,8,0.125,-10.335,0,0.0334,75.994,4,0.241
60,Acoustic Guitar Hits: Selected Pop Pearls,Dieter Max,Acoustic,3AvE9LrlIkqtH32RKm5DwE,Blackbird (Arr. for Classical Guitar),0.952,0.272,133659,0.18,0.912,7,0.115,-17.314,1,0.0368,101.115,4,0.289
61,Wonders,The Piano Guys,Acoustic,1wpyVNJcutD5uYyjDreWaW,Let It Go,0.809,0.602,241840,0.667,0.892,8,0.109,-7.55,1,0.0317,140.038,4,0.489
62,All We Are Saying...,Bill Frisell,Acoustic,5p1p8YYZXlMJAaYEQE2ZZx,You've Got To Hide Your Love Away,0.45,0.294,310867,0.416,0.439,7,0.115,-8.243,1,0.0274,76.472,3,0.206
63,Finding My Way,Trevor Gordon Hall,Acoustic,41XWMcA73Z3snk9XpzeskX,The Long and Winding Road,0.253,0.486,229027,0.359,0.413,4,0.166,-11.556,1,0.0337,134.214,4,0.241
64,Teenager's Guide To Classical Music,St. Martin's Symphony Of Los Angeles,Acoustic,1URUMa7E9Rzd96i7Z9rFRd,Love Story (made famous by Taylor Swift ),0.857,0.48,234500,0.396,0.901,2,0.114,-8.567,1,0.0319,119.95,4,0.124
65,I Will Wait,2Cellos,Acoustic,2QYddNy8VSCk1mKP3eDN7H,I Will Wait,0.235,0.363,247413,0.625,0.82,7,0.63,-7.518,1,0.0809,148.967,4,0.209
0,Joytime,Marshmello,EDM,1KDX8TC34n6CNryBEEMclR,Show You,7.78e-05,0.507,177465,0.969,0.935,10,0.173,-3.643,1,0.0395,142.006,4,0.242
1,Joytime,Marshmello,EDM,6aWiGv6hPG0o3ri7QHNs8t,Find Me,0.00012,0.557,180000,0.889,0.000225,0,0.325,-4.045,1,0.0499,142.015,4,0.173
2,Joytime,Marshmello,EDM,1aS1uzcAC14lduwuNJZjqE,Know Me,0.00635,0.664,206197,0.844,0.00285,5,0.542,-5.012,0,0.0405,142.056,4,0.557
3,Joytime,Omar LinX,EDM,0Q3SC6kEhxYagDP3bFe5K9,Keep It Mello (feat. Omar LinX),0.00134,0.686,243380,0.888,0.000689,1,0.0736,-3.348,1,0.0857,142.015,4,0.108
4,SOS,stereoGO,EDM,4WCNiW7DJFE6h94q5NPZmZ,SOS,0.0045,0.704,191000,0.933,6.36e-06,6,0.113,-4.186,0,0.144,149.924,4,0.447
5,Be Right There,Diplo,EDM,59ZSmCCe6Ao1qtptCqX9Tk,Be Right There,0.00259,0.695,237051,0.797,0.112,7,0.664,-5.199,1,0.0548,124.972,4,0.297
6,Blood For Mercy,Yellow Claw,EDM,1xQv4unOladJFtLUOy2eb7,In My Room (feat. Ty Dolla $ign & Tyga),0.00193,0.745,168641,0.869,0.0,6,0.0799,-4.375,1,0.0444,104.015,4,0.814
7,Worlds Apart,Seven Lions,EDM,2U0pVx4m1Kdm1Gsjjm6iq8,Strangers,0.0134,0.577,204213,0.691,3.43e-06,0,0.124,-7.437,0,0.0393,129.984,4,0.507
8,Don't Let Me Down,The Chainsmokers,EDM,1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,0.157,0.532,208373,0.869,0.00508,11,0.136,-5.094,1,0.172,159.803,4,0.422
9,Until You Were Gone,The Chainsmokers,EDM,12MqM3S0fTvR6X4Jt1Xvn6,Until You Were Gone,0.0541,0.577,215625,0.698,0.0,1,0.131,-4.773,1,0.0451,128.061,4,0.324
10,Daydreams,Audien,EDM,33lXq3csEWwYNn6x0sM3Et,Something Better,0.0616,0.561,212619,0.837,0.0,2,0.254,-2.563,1,0.0661,126.012,4,0.445
11,Untouchable,Tritonal,EDM,05dL7chWJaVjMJnGO1YCKk,Untouchable,0.0664,0.542,228837,0.795,2.89e-06,7,0.313,-3.131,1,0.0379,128.959,4,0.251
12,Leaving You,Audien,EDM,22qUyTlEvJf6DAlyQjMADe,Leaving You,0.0214,0.638,212427,0.74,1.2e-06,9,0.142,-4.928,0,0.0579,128.045,4,0.454
13,In Return,ODESZA,EDM,5jnp8E61wcoF6qIEtDHQnJ,All We Need (feat. Shy Girls),0.00416,0.644,211200,0.848,0.0168,4,0.0629,-4.952,0,0.0511,99.989,4,0.283
14,Firestone,Kygo,EDM,2sNvitW3TxiTeC9xT9f2ZZ,Firestone,0.408,0.486,273684,0.652,6.63e-05,11,0.077,-7.226,0,0.052,113.055,4,0.391
15,In Return,ODESZA,EDM,1LeItUMezKA1HdCHxYICed,Say My Name (feat. Zyra),0.0041,0.749,262957,0.745,0.395,6,0.0748,-7.367,0,0.0479,115.048,4,0.347
16,Let You Go (Radio Edit),The Chainsmokers,EDM,2Mh0jU5IyRTQfpyMnvki5Z,Let You Go - Radio Edit,0.276,0.59,218973,0.887,0.0,5,0.0798,-2.851,1,0.0928,126.029,4,0.258
17,Blame (Remixes),Calvin Harris,EDM,0wRaAh1Km76Blq4qMJjjvN,Blame - R3HAB Trap Remix,0.0293,0.614,212093,0.911,0.000486,0,0.135,-4.102,0,0.0443,141.941,4,0.175
18,Pharmacy,Galantis,EDM,46lFttIf5hnUZMGvjK0Wxo,Runaway (U & I),0.00711,0.506,227074,0.805,0.00193,1,0.0856,-4.119,1,0.0469,126.008,4,0.383
19,Often (Kygo Remix),The Weeknd,EDM,27NV2KxoQ8WuLMqlTDI61F,Often - Kygo Remix,0.128,0.583,234400,0.484,0.0,7,0.39,-9.864,0,0.043,80.015,4,0.412
20,Middle,DJ Snake,EDM,2bKhIGdMdcqCqQ2ZhSv5nE,Middle,0.0175,0.564,220573,0.737,0.0,9,0.054,-4.079,1,0.0414,104.764,4,0.211
21,Till It Hurts,Yellow Claw,EDM,6hJSH3jS9jG6khVclppBJw,Till It Hurts,0.000654,0.55,188680,0.893,0.000247,8,0.158,-4.048,1,0.0314,144.982,4,0.278
22,Shotgun,Yellow Claw,EDM,2LGfcxG9LcDOxnltIPE1Zq,Shotgun,0.0129,0.664,193893,0.907,0.176,4,0.26,-3.213,0,0.0328,144.956,4,0.226
23,Smoke Filled Room,Mako,EDM,4f13AaRyukUTWleyKXaRDh,Smoke Filled Room,0.024,0.574,195503,0.731,0.0,11,0.0779,-4.582,1,0.0664,127.925,4,0.402
24,Skrillex and Diplo present Jack Ü,Jack Ü,EDM,2RpKh7kXSdO8NLrW9VQ46p,Take Ü There (feat. Kiesza),0.0523,0.542,210000,0.879,0.0,6,0.171,-1.427,0,0.0921,159.888,4,0.118
25,This Mixtape is Fire.,Dillon Francis,EDM,6m3ZWIXhjoV76syT1j2oE9,Coming Over (feat. James Hersey),0.227,0.631,178333,0.661,1.43e-06,5,0.166,-5.5,0,0.0999,174.031,4,0.698
26,Candyman,Zedd,EDM,0NWQTyapmz4GuDTSN9xTB7,Candyman,0.0232,0.573,178920,0.875,0.0,2,0.356,-4.057,0,0.0523,149.974,4,0.235
27,Metamorphic III,Tritonal,EDM,69mlHIPayAZVzC32RaVty5,Anchor,0.00768,0.536,216923,0.832,0.0,8,0.054,-3.762,1,0.041,130.069,4,0.175
28,The Enhanced Collection 2013 - Part 4,Tritonal,EDM,5cr2MqXUs0TGaDByQnKVnX,Now Or Never - Radio Edit,0.108,0.527,251250,0.809,0.00983,6,0.104,-4.037,0,0.0418,127.925,4,0.309
29,Running Out,Matoma,EDM,2H8LPaY3NSjmOFMH2Rygnz,Running Out,0.0856,0.601,211200,0.682,0.00384,10,0.132,-5.905,1,0.0338,94.999,4,0.17
30,Catch Me (feat. Naaz),Flux Pavilion,EDM,2aLIBIlebwNpljSxFczUcL,Catch Me (feat. Naaz),0.0362,0.56,162383,0.916,0.000963,7,0.102,-3.328,0,0.0661,144.933,4,0.585
31,Stay,Kygo,EDM,7gBj0VgcuAgkXkiRRYvSmK,Stay,0.0444,0.648,239465,0.736,0.000137,8,0.171,-7.948,1,0.0385,103.027,4,0.378
32,Inside Out,The Chainsmokers,EDM,7sG2bWi2eDtvX9vX8yC1Gn,Inside Out,0.00308,0.545,233773,0.65,7.98e-06,7,0.122,-5.853,0,0.0315,143.937,4,0.121
33,I Wanna Know,Alesso,EDM,2kYqdSlrtovVMMIn6ykzba,I Wanna Know,0.0755,0.651,240413,0.823,0.0,2,0.0939,-3.632,1,0.0325,115.946,4,0.505
34,Blackout,Tritonal,EDM,2qJLp4SATqV1OP5IDN7SMl,Blackout,0.233,0.529,211690,0.739,0.000815,7,0.112,-2.62,0,0.0301,141.889,4,0.183
35,Automatic,Kaskade,EDM,6RXdg3NwyLU5pHUwkZq6VA,Us,0.00896,0.643,195333,0.87,3.66e-05,11,0.0584,-5.035,1,0.0567,124.961,4,0.193
36,Automatic,Kaskade,EDM,3xQjivjUZ4KnUslduTEYKC,Disarm You (feat. Ilsey),0.0434,0.446,221133,0.793,4.14e-05,5,0.159,-3.912,0,0.0556,127.799,4,0.313
37,SummerThing!,Afrojack,EDM,1KcnJTiXJXAqW5bB7zpkBC,SummerThing!,0.0566,0.707,235344,0.77,0.0,0,0.294,-5.45,1,0.0749,130.053,4,0.762
38,Native,OneRepublic,EDM,1hZk9dktp4yRFTm0TrycuH,If I Lose Myself - Alesso vs OneRepublic,0.212,0.517,214813,0.791,1.94e-05,2,0.126,-4.829,1,0.0411,126.016,4,0.128
39,"Money Sucks, Friends Rule",Dillon Francis,EDM,3oZoXyU0SkDldgS7AcN4y4,Get Low,0.0282,0.674,212773,0.932,0.71,11,0.684,-4.424,0,0.0859,101.033,4,0.728
40,"Devil (feat. Busta Rhymes, B.o.B & Neon Hitch)",Cash Cash,EDM,4bciEWCPPeR2UiVloDyUc5,"Devil (feat. Busta Rhymes, B.o.B & Neon Hitch)",0.055,0.613,210307,0.765,0.0,9,0.205,-2.974,0,0.0568,144.893,4,0.335
41,You Know You Like It,DJ Snake,EDM,57kR5SniQIbsbVoIjjOUDa,You Know You Like It,0.0113,0.426,247267,0.722,1.27e-06,5,0.262,-5.369,0,0.196,196.133,4,0.25
42,Prologue (Remixes),Life of Dillon,EDM,18KDpXD6e2UGRA5ORND1CU,Overload - The Chainsmokers Remix,0.00406,0.72,197016,0.587,0.000178,8,0.109,-6.458,1,0.0318,130.018,4,0.313
43,Dollhouse (The Remixes),Melanie Martinez,EDM,3uRZdsfjv6aWD7OV6VQPz6,Dollhouse - Jai Wolf Remix,0.375,0.651,248527,0.453,2.34e-06,0,0.347,-9.595,0,0.0271,140.003,4,0.39
44,Lean On,Major Lazer,EDM,4KcVVhAaHxqtX2ANt4b3tc,Lean On,0.00339,0.713,176561,0.79,0.000868,7,0.485,-4.602,0,0.0574,98.011,4,0.308
45,Forever,Alesso,EDM,6vPJvkEuWZPcv58NnQ3dBR,Sweet Escape,0.0876,0.571,232533,0.846,0.0,2,0.195,-3.8,1,0.0416,126.048,4,0.512
46,What If I Go?,Mura Masa,EDM,3LjEaWzh33DiR8MtrVbJnI,What If I Go?,0.375,0.487,200550,0.623,0.0,7,0.308,-7.388,1,0.464,200.155,4,0.894
47,Someday Somewhere,Mura Masa,EDM,79nopNMm3rJSUfQfMkG0Ur,Firefly,0.415,0.793,228000,0.449,2.02e-06,10,0.0642,-9.243,1,0.136,109.982,4,0.46
48,Is It Love,3LAU,EDM,2ig0x2zNvcOugS1Z0YCnHb,Is It Love,0.0671,0.643,228960,0.742,0.00379,9,0.161,-7.2,1,0.0412,125.001,4,0.294
49,Roses,The Chainsmokers,EDM,3vv9phIu6Y1vX3jcqaGz5Z,Roses,0.0435,0.713,226739,0.802,0.00377,4,0.309,-7.055,1,0.0561,100.001,4,0.343
50,Our Story (Radio Edit),Mako,EDM,4nP6jRqPZjFGDfBZpwxwh2,Our Story - Radio Edit,0.172,0.513,208125,0.689,0.0,8,0.248,-3.548,1,0.0359,128.097,4,0.41
51,All Time Low,Jon Bellion,EDM,5wQRNkb7OhzJoT1P0OZ4Rw,All Time Low,0.402,0.66,221333,0.378,0.0,0,0.0838,-9.728,1,0.27,90.056,4,0.516
52,Into The Sunset,Mako,EDM,02E0dSRldGrrrJyTY7O4uA,Into The Sunset,0.476,0.435,207581,0.726,0.0,10,0.266,-6.153,1,0.137,123.938,4,0.609
53,Is It Love (Remixed),3LAU,EDM,1qJhb6zftFI5PT39nL84vw,Is It Love - Arty Remix,0.0037,0.454,202510,0.846,0.0,1,0.105,-4.577,0,0.0764,128.064,4,0.216
54,Tesla,Flux Pavilion,EDM,4yNoaxUJjnP50AXYoAZx4S,Emotional,0.00272,0.493,235276,0.865,0.276,11,0.107,-4.672,0,0.0609,150.003,4,0.43
55,Blow The Roof,Flux Pavilion,EDM,2BTPW7osibjN9gFDRY4mYN,Do Or Die (feat. Childish Gambino),0.000242,0.624,245091,0.83,1.4e-05,11,0.306,-5.018,0,0.121,145.146,4,0.432
56,I Can't Stop,Flux Pavilion,EDM,5WSL7UTa38jMWoBzObD4BD,I Can't Stop,0.00108,0.524,305786,0.601,0.601,0,0.398,-13.399,0,0.0335,139.972,4,0.314
57,How To Love (feat. Sofia Reyes),Cash Cash,EDM,2VYiQ9ijG3NER2aevaxzDi,How To Love (feat. Sofia Reyes),0.148,0.673,219240,0.894,3.4e-06,0,0.141,-2.73,1,0.0594,118.894,4,0.63
58,This Is What You Came For,Calvin Harris,EDM,0azC730Exh71aQlOt9Zj3y,This Is What You Came For,0.199,0.63,222160,0.928,0.124,9,0.148,-2.787,0,0.0331,123.963,4,0.465
59,This Is Love,Tritonal,EDM,1ToVEMXEqUKg8dTURvVZy8,This Is Love,0.0837,0.466,218906,0.786,2.9e-06,4,0.563,-3.387,0,0.058,127.838,4,0.357
60,This Is What You Came For (Remixes),Calvin Harris,EDM,1GJLqaSf3YAHzHlnrFjeCS,This Is What You Came For - Dillon Francis Remix,0.0137,0.681,223000,0.915,0.000602,9,0.127,-2.862,0,0.0476,139.978,4,0.474
