,album,artist,genre,id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
6,2 Vaults (feat. Lil Yachty),Tee Grizzley,Rap,0KmgnnbSO6Iqye27Rdtv13,2 Vaults (feat. Lil Yachty),0.264,0.921,210000,0.586,0.0,8,0.119,-7.77,1,0.406,96.042,4,0.657
7,JAPAN,Famous Dex,Rap,4lTiuD1DwBKo4L7wqMkD7C,JAPAN,0.121,0.733,144149,0.678,0.0,6,0.345,-7.771,1,0.439,175.984,4,0.841
8,Plug Walk,Rich The Kid,Rap,0gD6lWJhbXHWNVwQziSVvl,Plug Walk,0.224,0.882,175511,0.503,0.0,11,0.108,-6.618,1,0.179,95.011,4,0.176
9,Esskeetit,Lil Pump,Rap,44KKhCyI0BGS6LvVyDqJtH,Esskeetit,0.022,0.932,181714,0.506,0.0,11,0.0933,-7.755,1,0.161,139.974,4,0.696
10,Powerglide (feat. Juicy J),Rae Sremmurd,Rap,2yUbCEiaolfSMluDo9RMmG,Powerglide (feat. Juicy J),0.0149,0.712,332301,0.829,0.0,1,0.122,-4.707,0,0.141,173.953,4,0.593
11,KOD,J. Cole,Rap,1AT4xjNarTswd0UZ5FlmKF,Motiv8,0.135,0.869,133922,0.385,0.0,4,0.0931,-7.801,1,0.297,149.897,4,0.596
12,Without Warning,Offset,Rap,7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (& Metro Boomin),0.149,0.88,172800,0.428,5.07e-05,9,0.114,-8.28,1,0.206,100.007,4,0.333
13,SAD!,XXXTENTACION,Rap,35ieKju5aLWFN5UgfJ27mL,SAD!,0.258,0.74,166568,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,4,0.473
14,Pineapple (feat. Gucci Mane & Quavo),Ty Dolla $ign,Rap,0TFVOjSvPTjFHkiZZekK5k,Pineapple (feat. Gucci Mane & Quavo),0.0301,0.964,218261,0.555,0.000567,5,0.128,-6.245,0,0.0499,130.017,4,0.338
15,420 Freestyle,Wiz Khalifa,Rap,3gbN8NCqagIB9JO567Nw5C,420 Freestyle,0.00627,0.923,215172,0.647,0.0,5,0.0855,-5.69,0,0.0715,145.006,4,0.536
16,Creeping (feat. Rich the Kid),Lil Skies,Rap,7ms3VzLTfr7fXNOqA4Mkx9,Creeping (feat. Rich the Kid),0.0108,0.729,179831,0.687,0.0,8,0.162,-8.06,0,0.25,160.085,4,0.683
17,Scary Hours,Drake,Rap,2XW4DbS6NddZxRPm5rMCeY,God's Plan,0.0244,0.753,198960,0.454,5.62e-05,7,0.498,-9.488,1,0.0963,77.17,4,0.344
18,KOD,J. Cole,Rap,2UciqgwVDwro0fev3MFbxJ,ATM,0.115,0.719,216727,0.497,0.0,8,0.0898,-7.661,1,0.681,81.651,4,0.345
19,Psycho (feat. Ty Dolla $ign),Post Malone,Rap,65NwOZqoXny4JxqAPlfxRF,Psycho (feat. Ty Dolla $ign),0.566,0.74,220880,0.558,0.0,8,0.112,-8.115,1,0.102,140.057,4,0.421
20,Guatemala (feat. Slim Jxmmi),Swae Lee,Rap,6sTDhYVVXU3HSDuG7mBLRU,Guatemala (feat. Slim Jxmmi),0.185,0.849,256341,0.699,0.00118,4,0.0954,-5.193,0,0.0574,100.989,4,0.0778
21,Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell),Mike WiLL Made-It,Rap,5NkfVQS8BkceRgoSQwcW6H,Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell),0.128,0.871,273087,0.552,0.0,4,0.272,-4.953,0,0.0509,141.973,4,0.27
22,Who Run It (Remix),G Herbo,Rap,36fmvm49vZC9VM5X2DQJVe,Who Run It (Remix) [Feat. Lil Uzi Vert],0.0412,0.669,263343,0.809,0.0,6,0.378,-5.718,0,0.296,159.364,4,0.605
23,Diamond Teeth Samurai,YoungBoy Never Broke Again,Rap,3tdGYraExDxOA5js4hVRbA,Diamond Teeth Samurai,0.00451,0.799,162488,0.659,0.0,10,0.13,-5.593,0,0.272,177.957,4,0.256
24,Chun-Li,Nicki Minaj,Rap,2gTYVoQCUh0QNUaFix01ld,Chun-Li,0.307,0.643,191606,0.766,1.38e-05,6,0.107,-4.788,0,0.384,97.092,4,0.463
25,Bad Company,A$AP Rocky,Rap,3ZYwSDF9knZI0RVlKR4PHC,Bad Company,0.0679,0.901,183809,0.529,0.0,8,0.536,-7.94,1,0.413,144.941,4,0.343
26,TOTAL XANARCHY,Lil Xan,Rap,5J3LR9JWrZIUTG7UGZkIKg,Slingshot,0.0562,0.928,89973,0.778,6.27e-06,7,0.129,-6.962,0,0.252,122.998,4,0.668
27,Hear No Evil,Young Thug,Rap,5I30ByMf5nhgbSokY1EZiN,Anybody (feat. Nicki Minaj),0.0381,0.901,254947,0.472,0.0,11,0.11,-8.416,0,0.194,120.0,4,0.479
28,"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,Rap,51rXHuKN8Loc4sUlKPODgH,"King's Dead (with Kendrick Lamar, Future & James Blake)",0.000874,0.563,229670,0.717,0.0,1,0.183,-5.186,1,0.337,82.064,4,0.427
29,Outside Today,YoungBoy Never Broke Again,Rap,5Qx9hngUBr30JFrNua7yp4,Outside Today,0.26,0.838,128908,0.676,0.0,11,0.105,-5.521,0,0.0682,134.054,4,0.146
30,Life of a Dark Rose,Lil Skies,Rap,3ZhTT6yjZwpPph5MIJ53XY,Red Roses (feat. Landon Cube),0.547,0.691,262544,0.683,0.0,0,0.221,-7.335,1,0.0954,140.002,4,0.456
31,A$AP Forever,A$AP Rocky,Rap,1YmF9PvLhIISIANoMLIYGq,A$AP Forever,0.224,0.469,233061,0.78,0.0,10,0.13,-6.49,0,0.122,125.999,4,0.444
32,The World Is Yours,Rich The Kid,Rap,0qFX9pVJQB4lBMxRoFXqGr,End Of Discussion (feat. Lil Wayne),0.176,0.784,236944,0.58,0.0,0,0.0979,-6.656,1,0.167,76.484,4,0.338
33,Bounce Out With That,YBN Nahmir,Rap,5lZsh9Qf7CbHI9Fcc7Zcsq,Bounce Out With That,0.037,0.865,97202,0.652,0.0,8,0.0925,-8.218,1,0.105,94.946,4,0.372
34,123 (with Murda Beatz),Smokepurpp,Rap,2xCzUIQwX5Y3wEFJnHoc3J,123 (with Murda Beatz),0.196,0.88,170000,0.61,0.0,9,0.105,-5.257,1,0.402,135.993,4,0.383
35,Black Panther The Album Music From And Inspired By,SOB X RBE,Rap,2tPcTFiQF9MbVUyjZ3zDhA,Paramedic!,0.155,0.859,219307,0.651,0.0,1,0.14,-5.395,1,0.124,97.053,4,0.487
36,KOLORBLIND,DJ Esco,Rap,5SGYanjZguKYg5PgVzFsvR,Chek,0.199,0.879,202861,0.617,0.0,1,0.264,-6.333,1,0.254,144.399,4,0.345
37,We Don't Luv Em (Remix),HoodRich Pablo Juan,Rap,2Y43TDqgnRgVZA7RxtxEV1,We Don't Luv Em (Remix),0.293,0.896,193776,0.615,0.0,6,0.122,-9.326,0,0.326,140.04,4,0.89
38,Maintain,Belly,Rap,1k9B8MqhGKbVV3dTpwUxn5,Maintain,0.333,0.878,216240,0.62,0.0,2,0.391,-5.485,1,0.112,133.027,4,0.218
39,Barbie Tingz,Nicki Minaj,Rap,2qsQ8eVDPmobZpvDxQCVQu,Barbie Tingz,0.0849,0.917,191700,0.689,0.0,6,0.603,-6.225,1,0.264,102.414,4,0.443
40,Chanel (feat. Swae Lee & Pharrell),Slim Jxmmi,Rap,5D0YYVfsYxLmcrVAfoBPxR,Chanel (feat. Swae Lee & Pharrell),0.0055,0.98,264001,0.713,0.0,5,0.106,-4.98,1,0.0468,125.03,4,0.67
41,Invasion of Privacy,Cardi B,Rap,17Yq72h0p15OhCbZ5lJ5gd,Bickenhead,0.154,0.884,181624,0.814,1.67e-06,7,0.158,-5.333,1,0.303,155.938,4,0.907
42,Rover 2.0 (feat. 21 Savage),BlocBoy JB,Rap,7sB2rmolvEt77KFPCraSNc,Rover 2.0,0.189,0.914,275872,0.781,0.0,9,0.126,-5.467,0,0.302,140.09,4,0.806
43,MEMORIES DON'T DIE,Tory Lanez,Rap,6dnrppGRbt8fie18Lcd9Dd,B.I.D,0.102,0.757,164133,0.694,0.0,10,0.0893,-5.639,0,0.0942,154.969,4,0.544
44,The Play Don’t Care Who Makes It,2 Chainz,Rap,365wwIjijQdlRJEjUWTidq,PROUD,0.738,0.781,234667,0.81,0.0,10,0.144,-4.301,0,0.356,173.949,4,0.908
45,Suu Whoop,YG,Rap,1pWeQDyW5ieMmfjr8HP5TU,Suu Whoop,0.0326,0.799,185200,0.325,3.53e-05,2,0.114,-9.91,1,0.506,157.966,4,0.233
46,Lil Boat 2,Lil Yachty,Rap,6tarvNiKnEjYMj1VZhlDqR,66,0.0455,0.667,153475,0.723,0.000179,5,0.213,-4.31,0,0.27,148.057,4,0.251
47,Top Off,DJ Khaled,Rap,1W6wxOOYyJyyok8fqYSZ3m,Top Off,0.0107,0.573,230713,0.591,0.0,11,0.455,-6.715,0,0.331,86.721,5,0.232
